rank,name,points,players
#133,Exusiai,4,"['seas', 'ZeroFeng', 'Mort1s', 'ReacT3on', 'nnn1337']"
#134,1win,4,"['HObbit', 'Goody', 'klain', 'cronuss', 'oz1k']"
#135,Imperial Valkyries,4,"['zAAz', 'ANa', 'tory', 'twenty3', 'Kat']"
#136,XDM,4,"['Shad0w', 'taidao', 'r1verLaKe', 'Kungao', 'darkk']"
#137,Bounty Hunters,4,"['Tuurtle', 'meyern', 'KAISER', 'zock']"
#138,Reverse Sweep,4,"['ShenxianG', 'yuhuanKY', 'Hunten', 'Ghost217', 'P1G']"
#139,Gods Reign,4,"['Rossi', 'Bhavi', 'f1redup', 'R2B2']"
#140,ShindeN,4,"['BK1', 'nacho', 'abizz', 'ivz']"
#141,Alliance,4,"['twist', 'PlesseN', 'eraa', 'upE', 'avid']"
#142,Sangal,4,"['Blytz', 'maaryy', 'bnox', 'mASKED', 'danistzz']"
#143,Nuclear TigeRES,4,"['k0s', 'senka', 'h1kaN', 'flouzer', 'fluffy']"
#144,Only One Word,4,"['Freeman', 'viridian', 'BaN4na', 'Terryyy', 'Oath']"
#145,Akimbo,4,"['kmrn', 'N2o', 'obi', 'zy', 'laxiee']"
#146,Maestro,4,"['fleav', 'ritchiEE', 'n0tice', '7kick', 'drowranger']"
#147,InControl,3,"['jsfeltner', 'TyRa', 'Beast', 'Scorchyy', 'Oczarka']"
#148,Marca Registrada,3,"['spamzzy', 'b1', 'AMC', 'Majesticzz', 'Jardani']"
#149,ESC,3,"['reiko', 'Grashog', 'SaMey', 'bajmi', 'olimp']"
#150,QMISTRY,3,"['keis', 'Masi', 'Xydoo', 'Showk', 'Fugor']"
#151,Tsunami,3,"['caustic', 'CAJUN', 'Pose1doNN', 'Drop', 'CoolComs']"
#152,Supernova Comets,3,"['Stx', 'empathy', 'Fawx', 'raven', 'Serendipity']"
#153,UNiTY,3,"['K1-FiDa', 'NEOFRAG', 'darber', 'woozzzi', 'PerdY']"
#154,RAGE,3,"['OxygeN', 'for2na', 'R3LiFwOw', 'ElayDzha', 'fatestyoshi']"
#155,HEROIC Academy,3,"['Scr0b', 'fnl', 'Dengzoe', 'anber', 'St0m4k']"
#156,PCIFIC,3,"['EMSTAR', 'jresy', 'eNs', 'scolleN', 'lugseN']"
#157,ARCRED,3,"['DSSj', 'Get_Jeka', 'Ryujin', 'Raijin', 'shg']"
#158,Delta,3,"['ddoni', 'mixmeister', 'dosikk', 'tsukumeow', 'dune']"
#159,LOBOARMY,3,"['zockie', 'Slayerhz', 'BabyRage', 'SJR', 'Antuanette']"
#160,regain,3,"['Halen', 'Zucar', 'dvrk', 'sasha', 'Fuzenko']"
#161,MANTRA,3,"['cookie', 'SkulL', 'cheeseball', 'rekonz', 'Winnieeeee']"
#162,IHC,3,"['shinobi', 'rate', 'me1o', 'Aapestt']"
#163,DEPO,3,"['fr0k', 'dako', 'D1sastrouS', 'wetfy', 'icyvl0ne']"
#164,Leça,3,"['opdust', 'M1KA', 'snowiee', 'ZPX', 'h0t']"
#165,Shika,3,"['splashske', 'ImpressioN', 'Biuckmt', 'jiejie', 'Zy88']"
#166,FORZE Reload,3,"['spirit', 'shady', 'rexxie', 'KusMe']"
#167,CPH Wolves,3,"['kwezz', 'Jackinho', 'b1elany', 'Tapewaare', 'Matheos']"
#168,LaChampionsLiga,3,"['lenci', 'pavv', 'Hezz', 'rzk', 'dott1']"
#169,Yawara,3,"['j0w', 'stax', 'revoltz', 'nardes']"
#170,Wildcard Academy,3,"['fr3nd', 'TMKj', 'Wonder', 'sSen']"
#171,Wanted Goons,3,"['Magic', 'KmZ', 'febreeze', 'Johan', 'killerPandas']"
#172,ScarX,3,"['x1ron', 'Dant1k', 'KryPt0NN', 'k1araSh', 'Dili']"
#173,Portuguese Family,3,"['renatoohaxx', 'snapy', 'rafaxF', 'Linko', 'Jayy2s']"
